date,vwretd,ewretd,sprtrn
2017-06-06,-0.00215,-0.00079,-0.002779
2017-06-07,0.000725,-0.00094,0.001568
2017-06-08,0.001597,0.005748,0.000267
2017-06-09,-0.000547,0.002024,-0.00083
2017-06-12,-0.000866,-0.00121,-0.000979
2017-06-13,0.005328,0.005552,0.004511
2017-06-14,-0.002289,-0.004337,-0.000996
2017-06-15,-0.002973,-0.005338,-0.00224
2017-06-16,0.000543,-0.000142,0.000284
2017-06-19,0.007639,0.006074,0.008347
2017-06-20,-0.007515,-0.006921,-0.006697
2017-06-21,-0.000752,-0.001863,-0.000583
2017-06-22,0.000802,0.004618,-0.000456
2017-06-23,0.002916,0.006132,0.001561
2017-06-26,0.00094,0.00367,0.000316
2017-06-27,-0.007476,-0.005515,-0.008073
2017-06-28,0.010009,0.00961,0.008808
2017-06-29,-0.008117,-0.004494,-0.0086
2017-06-30,0.001446,0.001301,0.001533
2017-07-03,0.003039,0.005382,0.002311
2017-07-05,0.000131,-0.003671,0.001453
2017-07-06,-0.009231,-0.008873,-0.009369
2017-07-07,0.006444,0.004721,0.006403
2017-07-10,0.000501,-0.000569,0.000928
2017-07-11,0.000236,0.000983,-0.000783
2017-07-12,0.007693,0.007062,0.007306
2017-07-13,0.001729,0.001716,0.001875
2017-07-14,0.004849,0.004238,0.004674
2017-07-17,1.4e-05,0.001124,-5.3e-05
2017-07-18,0.000459,-0.001659,0.000598
2017-07-19,0.005964,0.006293,0.005373
2017-07-20,3.3e-05,0.000156,-0.000154
2017-07-21,-0.000922,-0.002183,-0.000368
2017-07-24,-0.000133,-0.000294,-0.001064
2017-07-25,0.003457,0.003735,0.002923
2017-07-26,-8.5e-05,-0.000339,0.000283
2017-07-27,-0.002093,-0.005113,-0.000973
2017-07-28,-0.001066,-0.0006,-0.001341
2017-07-31,-0.000859,-0.001476,-0.000728
2017-08-01,0.00236,-4e-05,0.002449
2017-08-02,-0.000989,-0.006714,0.000493
2017-08-03,-0.00218,-0.003729,-0.002184
2017-08-04,0.002012,0.002573,0.001889
2017-08-07,0.001414,0.000187,0.001647
2017-08-08,-0.002772,-0.003534,-0.002414
2017-08-09,-0.001449,-0.006361,-0.000364
2017-08-10,-0.014415,-0.014476,-0.014474
2017-08-11,0.001508,0.001186,0.001276
2017-08-14,0.009827,0.010522,0.010044
2017-08-15,-0.00145,-0.006162,-0.000499
2017-08-16,0.002153,0.002418,0.00142
2017-08-17,-0.014559,-0.010727,-0.015437
2017-08-18,-0.001186,0.001833,-0.001835
2017-08-21,0.000858,-0.001551,0.001163
2017-08-22,0.009406,0.006494,0.009941
2017-08-23,-0.001918,0.000624,-0.003454
2017-08-24,-0.00116,0.002926,-0.002074
2017-08-25,0.002002,0.004661,0.001673
2017-08-28,0.000326,0.001006,0.000487
2017-08-29,0.000673,0.001716,0.000843
2017-08-30,0.004622,0.003613,0.004615
2017-08-31,0.006903,0.006718,0.005721
2017-09-01,0.002852,0.006153,0.001982
2017-09-05,-0.00762,-0.005636,-0.007551
2017-09-06,0.00319,0.003312,0.003129
2017-09-07,-3.2e-05,0.001174,-0.000178
2017-09-08,-0.001271,-0.000926,-0.001489
2017-09-11,0.010251,0.008922,0.010839
2017-09-12,0.003547,0.004436,0.003364
2017-09-13,0.000552,0.002703,0.000757
2017-09-14,-0.000492,0.000337,-0.001101
2017-09-15,0.001829,0.002498,0.001847
2017-09-18,0.002006,0.003485,0.001456
2017-09-19,0.001121,0.000316,0.00111
2017-09-20,0.000919,0.002178,0.000634
2017-09-21,-0.002543,-0.001112,-0.003046
2017-09-22,0.0011,0.004152,0.000648
2017-09-25,-0.001881,-0.000749,-0.002222
2017-09-26,0.000213,0.002167,7.2e-05
2017-09-27,0.004975,0.007975,0.004085
2017-09-28,0.001611,0.001972,0.001205
2017-09-29,0.003328,0.002609,0.003705
2017-10-02,0.004542,0.007313,0.003874
2017-10-03,0.0025,0.002963,0.002159
2017-10-04,0.000781,0.000718,0.001247
2017-10-05,0.00477,0.00388,0.005647
2017-10-06,-0.000977,-0.000501,-0.001074
2017-10-09,-0.001988,-0.002336,-0.001804
2017-10-10,0.002717,0.003161,0.002322
2017-10-11,0.00195,0.001334,0.001803
2017-10-12,-0.001538,-0.002471,-0.001687
2017-10-13,0.000886,8.8e-05,0.000878
2017-10-16,0.001013,-0.001625,0.001751
2017-10-17,-0.000188,-0.002831,0.000672
2017-10-18,0.000987,0.00094,0.000742
2017-10-19,-0.000131,-0.001806,0.000328
2017-10-20,0.004204,0.003116,0.005117
2017-10-23,-0.004272,-0.005788,-0.003972
2017-10-24,0.001655,0.000185,0.001618
2017-10-25,-0.005407,-0.005323,-0.004663
2017-10-26,0.0015,-0.000357,0.001271
2017-10-27,0.007589,0.004281,0.008073
2017-10-30,-0.003392,-0.004991,-0.003192
2017-10-31,0.00203,0.004483,0.000944
2017-11-01,0.000748,-0.002077,0.001592
2017-11-02,0.00034,0.000869,0.00019
2017-11-03,0.002852,0.001421,0.003097
2017-11-06,0.002097,0.00442,0.001271
2017-11-07,-0.001835,-0.006591,-0.000189
2017-11-08,0.001385,0.000477,0.001444
2017-11-09,-0.003602,-0.0014,-0.003762
2017-11-10,-0.000272,0.000457,-0.000898
2017-11-13,0.000195,-0.001612,0.000984
2017-11-14,-0.00256,-0.00449,-0.00231
2017-11-15,-0.004852,-0.003016,-0.005526
2017-11-16,0.009334,0.012356,0.008196
2017-11-17,-0.000921,0.005062,-0.002626
2017-11-20,0.001805,0.00324,0.001276
2017-11-21,0.006542,0.005207,0.006541
2017-11-22,-6.4e-05,0.002776,-0.00075
2017-11-24,0.002145,0.00305,0.002056
2017-11-27,-0.001546,-0.003366,-0.000384
2017-11-28,0.008835,0.006278,0.009848
2017-11-29,-0.000731,-6.7e-05,-0.000369
2017-11-30,0.007237,0.002285,0.008191
2017-12-01,-0.001124,-0.001144,-0.002024
2017-12-04,-0.001749,-0.002324,-0.001052
2017-12-05,-0.00418,-0.004838,-0.003739
2017-12-06,-0.001387,-0.006295,-0.000114
2017-12-07,0.004019,0.004991,0.002932
2017-12-08,0.00505,0.003482,0.005506
2017-12-11,0.002781,0.001522,0.003202
2017-12-12,0.000744,-0.001622,0.001549
2017-12-13,0.000541,0.003889,-0.000473
2017-12-14,-0.004374,-0.005002,-0.004071
2017-12-15,0.007951,0.007323,0.008974
2017-12-18,0.006749,0.009301,0.005363
2017-12-19,-0.003411,-0.003608,-0.00323
2017-12-20,-0.000103,0.003126,-0.000828
2017-12-21,0.00251,0.004873,0.001986
2017-12-22,-0.000161,0.000112,-0.000458
2017-12-26,-0.000171,0.002458,-0.001058
2017-12-27,0.000848,0.001169,0.000791
2017-12-28,0.002503,0.003175,0.001834
2017-12-29,-0.00475,-0.002981,-0.005183
2018-01-02,0.008505,0.011232,0.008303
2018-01-03,0.005856,0.005103,0.006399
2018-01-04,0.004001,0.005272,0.004029
